path,purpose,imports,imported_by,CLI entrypoint?,research phase,classification,frozen_reference?,manifest_or_artifact_reference?,safe_to_move?,recommended_destination,migration_action,notes
scripts/__pycache__/agentic_rag.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/agentic_rag.cpython-312.pyc
scripts/__pycache__/analyze_candidate_coverage.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/analyze_candidate_coverage.cpython-312.pyc
scripts/__pycache__/analyze_standard_rag_failures.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/analyze_standard_rag_failures.cpython-312.pyc
scripts/__pycache__/annotate_retrieval_eval.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/annotate_retrieval_eval.cpython-312.pyc
scripts/__pycache__/bm25_baseline.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/bm25_baseline.cpython-310.pyc
scripts/__pycache__/bm25_baseline.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/bm25_baseline.cpython-312.pyc
scripts/__pycache__/build_chunks.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/build_chunks.cpython-312.pyc
scripts/__pycache__/build_dense_index.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/build_dense_index.cpython-312.pyc
scripts/__pycache__/build_generation_eval_v1.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/build_generation_eval_v1.cpython-312.pyc
scripts/__pycache__/check_register.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/check_register.cpython-312.pyc
scripts/__pycache__/citation_validator.cpython-310.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/citation_validator.cpython-310.pyc
scripts/__pycache__/citation_validator.cpython-312.pyc,Generated Python bytecode,,,no,interpreter cache,GENERATED_ARTIFACT,yes,yes,needs_review,outside source tree; regenerate cache after approval,DELETE_CANDIDATE_LATER,Bytecode is generated; check seal/cache inventories before future removal. Recorded path/hash evidence: data/evaluation/generation/phase5/phase5a_ablation_manifest_v0.json#/source_integrity/before_sha256/scripts/__pycache__/citation_validator.cpython-312.pyc
