query_id,query,query_type,difficulty,gold_document_count,gold_article_count,gold_chunk_count,union_candidate_count,union_gold_count,top1_chunk_id,top1_article_id,top1_reranker_score,top1_bm25_rank,top1_dense_rank,first_gold_chunk_rank,first_gold_article_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,reciprocal_rank,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_reciprocal_rank,failure_taxonomy
eval001,Các mức phân loại rủi ro của hệ thống trí tuệ nhân tạo gồm những mức nào?,classification,easy,1,1,3,32,3,134-2025-QH15_dieu-9_khoan-1_diem-b,134-2025-QH15_dieu-9,5.4609622955,9,8,1,1,1,1,1,0.6666666667,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval002,Ai có thẩm quyền ban hành danh mục hệ thống trí tuệ nhân tạo có rủi ro cao?,authority,easy,1,1,1,26,1,142-2026-ND-CP_dieu-8_khoan-5,142-2026-ND-CP_dieu-8,7.0525627136,6,1,2,2,0,1,1,1.0000000000,1.0000000000,0.5000000000,0,1,1,0.5000000000,OTHER
eval003,Nhà cung cấp phải lập hồ sơ phân loại rủi ro vào thời điểm nào?,procedure,easy,1,1,1,28,1,142-2026-ND-CP_dieu-12_khoan-1,142-2026-ND-CP_dieu-12,3.9158039093,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval004,Nhà cung cấp hệ thống AI rủi ro cao phải duy trì những biện pháp quản lý nào?,actor_obligation,medium,1,1,6,32,2,142-2026-ND-CP_dieu-15_khoan-1,142-2026-ND-CP_dieu-15,6.1889643669,1,1,1,1,1,1,1,0.1666666667,0.1666666667,1.0000000000,1,1,1,1.0000000000,PARTIAL_CANDIDATE_COVERAGE
eval005a,Nhà cung cấp hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,7,33,2,142-2026-ND-CP_dieu-15_khoan-1,142-2026-ND-CP_dieu-15,6.8620572090,3,2,7,2,0,0,0,0.0000000000,0.2857142857,0.1428571429,0,1,1,0.5000000000,PARTIAL_CANDIDATE_COVERAGE
eval005b,Bên triển khai hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,6,34,2,142-2026-ND-CP_dieu-15_khoan-4,142-2026-ND-CP_dieu-15,6.7746610641,2,2,5,2,0,0,1,0.1666666667,0.3333333333,0.2000000000,0,1,1,0.5000000000,PARTIAL_CANDIDATE_COVERAGE
eval006,Trách nhiệm minh bạch của nhà cung cấp hệ thống trí tuệ nhân tạo bao gồm những gì?,actor_obligation,medium,1,1,3,33,3,142-2026-ND-CP_dieu-16_khoan-1,142-2026-ND-CP_dieu-16,7.3326272964,1,1,2,2,0,1,1,1.0000000000,1.0000000000,0.5000000000,0,1,1,0.5000000000,OTHER
eval007,Nội dung do AI tạo ra phải được thông báo hoặc gắn nhãn như thế nào?,transparency,hard,1,1,9,26,9,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,7.3455810547,1,1,4,1,0,0,1,0.2222222222,0.4444444444,0.2500000000,1,1,1,1.0000000000,MULTI_CHUNK_COVERAGE
eval008,Trường hợp nào nội dung do AI tạo ra cần giúp người tiếp nhận nhận biết rõ nguồn gốc?,condition,medium,1,1,4,35,3,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,4.6271004677,1,1,1,1,1,1,1,0.5000000000,0.7500000000,1.0000000000,1,1,1,1.0000000000,OTHER
eval009,Hệ thống AI tương tác trực tiếp với con người phải được thiết kế theo yêu cầu gì?,condition,easy,1,1,1,38,1,134-2025-QH15_dieu-11_khoan-1,134-2025-QH15_dieu-11,4.3820285797,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,OTHER
