query_id,query,query_type,difficulty,gold_chunk_count,bm25_gold_found,dense_gold_found,union_gold_found,bm25_candidate_recall,dense_candidate_recall,union_candidate_recall,bm25_any_gold,dense_any_gold,union_any_gold,bm25_full_gold,dense_full_gold,union_full_gold,bm25_candidate_count,dense_candidate_count,union_candidate_count,overlap_count,overlap_ratio
eval001,Các mức phân loại rủi ro của hệ thống trí tuệ nhân tạo gồm những mức nào?,classification,easy,3,3,3,3,1.0000000000,1.0000000000,1.0000000000,1,1,1,1,1,1,20,20,32,8,0.2500000000
eval002,Ai có thẩm quyền ban hành danh mục hệ thống trí tuệ nhân tạo có rủi ro cao?,authority,easy,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1,1,1,20,20,26,14,0.5384615385
eval003,Nhà cung cấp phải lập hồ sơ phân loại rủi ro vào thời điểm nào?,procedure,easy,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1,1,1,20,20,28,12,0.4285714286
eval004,Nhà cung cấp hệ thống AI rủi ro cao phải duy trì những biện pháp quản lý nào?,actor_obligation,medium,6,2,1,2,0.3333333333,0.1666666667,0.3333333333,1,1,1,0,0,0,20,20,32,8,0.2500000000
eval005a,Nhà cung cấp hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,7,1,1,2,0.1428571429,0.1428571429,0.2857142857,1,1,1,0,0,0,20,20,33,7,0.2121212121
eval005b,Bên triển khai hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,6,1,1,2,0.1666666667,0.1666666667,0.3333333333,1,1,1,0,0,0,20,20,34,6,0.1764705882
eval006,Trách nhiệm minh bạch của nhà cung cấp hệ thống trí tuệ nhân tạo bao gồm những gì?,actor_obligation,medium,3,3,2,3,1.0000000000,0.6666666667,1.0000000000,1,1,1,1,0,1,20,20,33,7,0.2121212121
eval007,Nội dung do AI tạo ra phải được thông báo hoặc gắn nhãn như thế nào?,transparency,hard,9,9,5,9,1.0000000000,0.5555555556,1.0000000000,1,1,1,1,0,1,20,20,26,14,0.5384615385
eval008,Trường hợp nào nội dung do AI tạo ra cần giúp người tiếp nhận nhận biết rõ nguồn gốc?,condition,medium,4,3,2,3,0.7500000000,0.5000000000,0.7500000000,1,1,1,0,0,0,20,20,35,5,0.1428571429
eval009,Hệ thống AI tương tác trực tiếp với con người phải được thiết kế theo yêu cầu gì?,condition,easy,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1,1,1,20,20,38,2,0.0526315789
