opaque_query_id,primary_family,provisional_split,cluster_id_hash,dimension_tags_first_pass_except_D6,D6_status,annotation_status,needs_second_review
q_1642611dc39f3f0e302f,deployment_scope_assessment,DEV,eb949232868c0a677e7b45aed09f0c69f15d9e75b36618ef1d3fed91eae83c24,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_c435ea84a01bd76f8166,deployment_scope_assessment,DEV,e15246559932cd44740fa667922003a37b50913c2b634673658b32694ed5afa0,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_c13f165c8ac1296c1449,deployment_scope_assessment,DEV,80a1e56e32b7e5e9ca8b5df393c956843fc76e4604a0ad3fe60aef646776685a,D1|D2|D3|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_c8a99d5afd80afefa090,deployment_scope_assessment,DEV,a20dad204c75110dee582e96a478d06bd15d05161502442dd432864a22a60d67,D1|D2|D3|D5|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_0562c6d6516359c63413,deployment_scope_assessment,HOLDOUT_TEST,560514fb72ca230a337ecbb0226d4510263fb86083eb7d03aecc2258e77804a1,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_dcc92aaa0791fa98004c,deployment_scope_assessment,HOLDOUT_TEST,b4c8bdb27f808890ba6a5db0e5e52f066eff9911141bc07eac29bcf371eefe19,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_9f10deed791a1ec07d04,deployment_scope_assessment,HOLDOUT_TEST,a676c2e5014274ce26b3898869d7a425d7e680ce8a9bbf9d6006115a1a9814b2,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_a195fa72dea87b439d7a,deployment_scope_assessment,HOLDOUT_TEST,c4be065baa28f584f2a72b188e679aeec9bb1db5e54602aab7a31e0c5018fbd4,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_b67987d68e10d7d0986d,deployment_scope_assessment,HOLDOUT_TEST,002f552a832333458b10bc60f4428203f3dd5813ef7cc100a3f8e6e3da1e4f66,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_81bb95ba1f19f186ab25,deployment_scope_assessment,HOLDOUT_TEST,5d338a48b0b154c09b4dc6a0bafde7e56e715735d18d7164e6a1608d9eae1cfc,D1|D2|D3|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_1f06ae333c1e3c774329,deployment_scope_assessment,HOLDOUT_TEST,430fc83345532d9ab29ce5f97f453c49c779adc5309b03a44ea70e19d1945319,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_fcae400ebdbdbe36cce8,deployment_scope_assessment,HOLDOUT_TEST,9d8882a5989630376c75ee5563305e5b74f5e2b80e68b5ed0f2348fc98b07928,D1|D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_2f80182d7e1efdf966c7,deployment_scope_assessment,RESERVE,eb949232868c0a677e7b45aed09f0c69f15d9e75b36618ef1d3fed91eae83c24,D1|D2|D3|D4|D5|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_b603d3ddf288b72f3954,deployment_scope_assessment,RESERVE,fccf0999635d11e84d178170b98c8e0ae1b3ad2244c8c0d015f7b279bd854f76,D1|D2|D3|D5|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_1ade66d9d5bb022b867f,deployment_scope_assessment,RESERVE,33c9a39e90672f66601d8704cfb0bed531fead5c3e3da5258f59a2fe0b0b6b41,,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_efb22fad6d7dad9fa17a,multi_duty_procedural_synthesis,DEV,fb91083307354b00ed001e802f409ad8402e6fa5aea484df45815c9499941454,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_555fa4b2dfa1d3f428df,multi_duty_procedural_synthesis,DEV,097f8c50fe7beaefb7bb7aae0fca50740175e1a8fc14e7b2bc67d26635ece1cf,D2|D3|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_4f81b0869e9d14221596,multi_duty_procedural_synthesis,DEV,b01e7b170ffcdd64621a16eb8e2fa3130c4b2f4024b824add2a99651e824a080,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_97f3e68f1e2cce1b2bf4,multi_duty_procedural_synthesis,DEV,f15f5e84512392377fbbb259dd723fbb65eeb1e84d2026529a0b830b2a613c8d,D2|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_8357958f95ff2e0baa41,multi_duty_procedural_synthesis,HOLDOUT_TEST,533ce3638eee7c6d992f61c5b834643222f859843f642d1fe28ee2610cc215d7,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_4d28afa77e15a3afd8f1,multi_duty_procedural_synthesis,HOLDOUT_TEST,c4be065baa28f584f2a72b188e679aeec9bb1db5e54602aab7a31e0c5018fbd4,D2|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_6f97ffb51be5fdaf892f,multi_duty_procedural_synthesis,HOLDOUT_TEST,e5e50557c27d7ebfa2843cb517d4329807cc1bc8739ef97d00d0ccb99409dbf5,D2|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_8324e664cda8a81236ed,multi_duty_procedural_synthesis,HOLDOUT_TEST,14a908d14fbe31a9c0030d333ec8e73517fa3d19b5750d7f1141f60ae1763f41,D2|D3|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_328ee3ab8c3e08738fd1,multi_duty_procedural_synthesis,HOLDOUT_TEST,b07814340133950cd6b07d1f8eebfe3f17347afdca520818ae8595c44b0efc05,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_4a979d778bce4f6552ab,multi_duty_procedural_synthesis,HOLDOUT_TEST,b4c8bdb27f808890ba6a5db0e5e52f066eff9911141bc07eac29bcf371eefe19,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_10309a829e08c3a4fecf,multi_duty_procedural_synthesis,HOLDOUT_TEST,68830b527445cc437d93acc4ed02e8c82413274ce5eedb71ebfa3b4d35671afd,D2|D3|D4|D5|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_d5df8d6efaee273f39d3,multi_duty_procedural_synthesis,HOLDOUT_TEST,6d8ca1c65b2860789606c1436abf2fab47debe1ed3bddf65c095a1fdd9153a37,D2|D7|D8|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_14e8b10bc8926bd979f0,multi_duty_procedural_synthesis,RESERVE,14a908d14fbe31a9c0030d333ec8e73517fa3d19b5750d7f1141f60ae1763f41,D2|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_0e4980e0bb419c668b44,multi_duty_procedural_synthesis,RESERVE,09f26a6b1bc3800b307061f9b65c34e919363e3a060b92111031340a052f18b9,D2|D7|D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_90f3303b7d7b22395d96,multi_duty_procedural_synthesis,RESERVE,91b33e34130fd119fb4b5b42eff7dd479af9db3707d46def16e2b7b448ac06d7,D8,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_8207ae5a788317993abd,actor_condition_applicability,DEV,0b4de220fb1a344ca0ddbadadc470bfa37aa00b47064d7fe16fd4a5a6d14aca1,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_7a2a93af56c529c8ef41,actor_condition_applicability,DEV,c2b8b6bf9fb5bb81470b688c997644b7fa5c33c2713ba37a40ddc03750298e24,D3|D5|D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_d26cb3f576e88854d6d8,actor_condition_applicability,DEV,5c045ae3ef91e688ad4e682dad1d0a629c7476cb25322cd52d742774d459d399,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_afa050568a2a155f495b,actor_condition_applicability,DEV,33c9a39e90672f66601d8704cfb0bed531fead5c3e3da5258f59a2fe0b0b6b41,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
q_a4eada08ab842902e775,actor_condition_applicability,HOLDOUT_TEST,0e22d33d99dee9a6c9d171bf45d820129966811f28677edfd49c1631c6aa8fef,D9,empirical_unverified,PENDING_INDEPENDENT_REVIEW,true
