old_path,classification,replacement_or_destination,action,reason,sha256_before
"scripts/agentic_rag.py",MIGRATED_LEGACY,"legal_rag.agentic.v1",DELETE,"Replacement and equivalence regression already established in M1-M5.",e415429b39786e9cb7dc46488718fcda0fc164ca4a84e49d95630835188745b6
"scripts/analyze_candidate_coverage.py",RESEARCH_TOOL,"tools/research/retrieval/analyze_candidate_coverage.py",MOVE,"Experiment-specific retrieval analysis.",ccd9e558ff1f478f2c226e6c5ef03727878b2e7f0c9e2ff14893b680b23695ad
"scripts/analyze_standard_rag_failures.py",RESEARCH_TOOL,"tools/research/generation/analyze_standard_rag_failures.py",MOVE,"Experiment-specific generation analysis.",2aa8f64f995bdccf1363e9b8c60a1115c903407329715fef056c0c1324fd23dd
"scripts/annotate_retrieval_eval.py",ANNOTATION_TOOL,"tools/annotation/annotate_retrieval_eval.py",MOVE,"Useful annotation/review workflow; data paths require M6 canonical update.",2acd0625801520816871ff6f14ae4a1b56095b12b7d92c75134526ce575e0a07
"scripts/bm25_baseline.py",MIGRATED_LEGACY,legal_rag.retrieval.sparse,DELETE,"Replacement and equivalence regression already established in M1-M5.",704f6ba51889411f4891ddad615e54eb68672583e37aea6b5a9afca90c378ac8
"scripts/build_chunks.py",CORE_LOGIC_NOT_YET_MIGRATED,"src/legal_rag/ingestion/chunking.py",MIGRATE_THEN_DELETE,"Canonical deterministic chunk construction deferred by M1.",da4045b0256d060582074b802b79d2d9f34052b2edcaf347d91de804b536ed78
"scripts/build_dense_index.py",MIGRATED_LEGACY,"legal_rag.retrieval.dense",DELETE,"Replacement and equivalence regression already established in M1-M5.",b4f78e0c5f80771f629a1e770dd4ccabee9121d83666564bed68f69d281ab1fd
"scripts/build_generation_eval_v1.py",DATASET_TOOL,"tools/dataset/build_generation_eval_v1.py",MOVE,"Useful dataset maintenance or benchmark-authoring orchestration.",93321abcd3574727424308cbe4adc1e6e06b3a30b7ddbb7dbbc0e00b41495332
"scripts/build_index.py",PRIMARY_CLI,"scripts/build_index.py",KEEP,"Thin supported user-facing CLI.",3ef14d75fcb43681eebd2eafba8713ac6ec0e43bbca3274db1acc3920ffa607c
scripts/check_register.py,LEGACY_ONLY,tools/legacy/check_register.py,MOVE,"Historical registry-schema validator retained outside active workflow.",9557c0791e3919c8797b6b80c36ae15348224e10b68f8c189f53bf36ba0feb10
"scripts/citation_validator.py",MIGRATED_LEGACY,"legal_rag.generation.verifier",DELETE,"Replacement and equivalence regression already established in M1-M5.",7e5eeb43e2c9316909e7c297f05dbaa9171eb51c3a5db76bd26944c6a36232fc
"scripts/clean_docx_text.py",MIGRATED_LEGACY,"legal_rag.ingestion.cleaners",DELETE,"Replacement and equivalence regression already established in M1-M5.",c123316e243b7b55464edc28b151bebbffd64b967f0a1deb574a0bb0e6e73275
"scripts/create_verification_samples.py",ANNOTATION_TOOL,"tools/annotation/create_verification_samples.py",MOVE,"Useful annotation/review workflow; data paths require M6 canonical update.",c5499cc84c33a2942da7969ee232f5e29747135a449d8557c5c2fd0df0518505
"scripts/dense_baseline.py",MIGRATED_LEGACY,"legal_rag.retrieval.dense",DELETE,"Replacement and equivalence regression already established in M1-M5.",030602670a13bc17aac4ab97dd65209a5825c4ef790fd25c0c3b6c2224fe99a8
"scripts/evaluate_agentic_rag.py",MIGRATED_LEGACY,"legal_rag.evaluation",DELETE,"Replacement and equivalence regression already established in M1-M5.",b78ad3224be4bd996d494f870dab3caaf0cc2680ad54d832936624db9dcc04c9
