query_id,query,query_type,difficulty,gold_document_count,gold_article_count,gold_chunk_count,top1_chunk_id,top1_article_id,top1_rrf_score,top1_bm25_rank,top1_dense_rank,first_gold_chunk_rank,first_gold_article_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,reciprocal_rank,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_reciprocal_rank
eval001,Các mức phân loại rủi ro của hệ thống trí tuệ nhân tạo gồm những mức nào?,classification,easy,1,1,3,134-2025-QH15_dieu-9_khoan-2,134-2025-QH15_dieu-9,0.0317780580,1,5,2,1,0,1,1,1.0000000000,1.0000000000,0.5000000000,1,1,1,1.0000000000
eval002,Ai có thẩm quyền ban hành danh mục hệ thống trí tuệ nhân tạo có rủi ro cao?,authority,easy,1,1,1,142-2026-ND-CP_dieu-8_khoan-5,142-2026-ND-CP_dieu-8,0.0315449578,6,1,9,2,0,0,0,0.0000000000,1.0000000000,0.1111111111,0,1,1,0.5000000000
eval003,Nhà cung cấp phải lập hồ sơ phân loại rủi ro vào thời điểm nào?,procedure,easy,1,1,1,142-2026-ND-CP_dieu-12_khoan-1,142-2026-ND-CP_dieu-12,0.0327868852,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval004,Nhà cung cấp hệ thống AI rủi ro cao phải duy trì những biện pháp quản lý nào?,actor_obligation,medium,1,1,6,142-2026-ND-CP_dieu-15_khoan-1,142-2026-ND-CP_dieu-15,0.0327868852,1,1,1,1,1,1,1,0.1666666667,0.1666666667,1.0000000000,1,1,1,1.0000000000
eval005a,Nhà cung cấp hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,7,142-2026-ND-CP_dieu-15_khoan-1,142-2026-ND-CP_dieu-15,0.0320020481,3,2,10,2,0,0,0,0.0000000000,0.1428571429,0.1000000000,0,1,1,0.5000000000
eval005b,Bên triển khai hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,6,142-2026-ND-CP_dieu-15_khoan-4,142-2026-ND-CP_dieu-15,0.0322580645,2,2,8,2,0,0,0,0.0000000000,0.1666666667,0.1250000000,0,1,1,0.5000000000
eval006,Trách nhiệm minh bạch của nhà cung cấp hệ thống trí tuệ nhân tạo bao gồm những gì?,actor_obligation,medium,1,1,3,142-2026-ND-CP_dieu-16_khoan-1,142-2026-ND-CP_dieu-16,0.0327868852,1,1,2,2,0,1,1,0.6666666667,0.6666666667,0.5000000000,0,1,1,0.5000000000
eval007,Nội dung do AI tạo ra phải được thông báo hoặc gắn nhãn như thế nào?,transparency,hard,1,1,9,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,0.0327868852,1,1,4,1,0,0,1,0.2222222222,0.3333333333,0.2500000000,1,1,1,1.0000000000
eval008,Trường hợp nào nội dung do AI tạo ra cần giúp người tiếp nhận nhận biết rõ nguồn gốc?,condition,medium,1,1,4,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,0.0327868852,1,1,1,1,1,1,1,0.5000000000,0.5000000000,1.0000000000,1,1,1,1.0000000000
eval009,Hệ thống AI tương tác trực tiếp với con người phải được thiết kế theo yêu cầu gì?,condition,easy,1,1,1,134-2025-QH15_dieu-11_khoan-1,134-2025-QH15_dieu-11,0.0327868852,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000
eval010,Nhà cung cấp cần làm gì khi phát hiện sự cố liên quan đến hệ thống trí tuệ nhân tạo?,incident,easy,1,1,1,134-2025-QH15_dieu-12_khoan-1,134-2025-QH15_dieu-12,0.0314980159,4,3,,1,0,0,0,0.0000000000,0.0000000000,0.0000000000,1,1,1,1.0000000000
eval011,"Cơ chế thử nghiệm có kiểm soát cho phép tổ chức, cá nhân được hưởng những cơ chế gì trong phạm vi thử nghiệm?",sandbox,medium,1,1,2,142-2026-ND-CP_dieu-23_khoan-1,142-2026-ND-CP_dieu-23,0.0322580645,2,2,,,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000
eval012,Cơ quan nào quyết định chấp thuận tham gia cơ chế thử nghiệm có kiểm soát?,authority,medium,1,1,3,142-2026-ND-CP_dieu-23_khoan-1,142-2026-ND-CP_dieu-23,0.0322580645,2,2,6,1,0,0,0,0.0000000000,1.0000000000,0.1666666667,1,1,1,1.0000000000
eval013,Việc phân loại cấp độ thử nghiệm có kiểm soát dựa trên những tiêu chí nào?,sandbox,medium,1,1,5,142-2026-ND-CP_dieu-22_khoan-6,142-2026-ND-CP_dieu-22,0.0325224749,1,2,2,1,0,1,1,0.4000000000,0.8000000000,0.5000000000,1,1,1,1.0000000000
eval014,Hồ sơ thông thường để tham gia cơ chế thử nghiệm có kiểm soát gồm những thành phần nào?,procedure,medium,1,1,4,142-2026-ND-CP_dieu-23_khoan-4,142-2026-ND-CP_dieu-23,0.0320020481,2,3,2,2,0,1,1,0.2500000000,0.5000000000,0.5000000000,0,1,1,0.5000000000
