query_id,query,query_type,difficulty,gold_document_count,gold_article_count,gold_chunk_count,first_gold_chunk_rank,first_gold_article_rank,hit_at_1,hit_at_3,hit_at_5,recall_at_5,recall_at_10,reciprocal_rank,article_hit_at_1,article_hit_at_3,article_hit_at_5,article_reciprocal_rank,top1_chunk_id,top1_article_id,top1_score
eval001,Các mức phân loại rủi ro của hệ thống trí tuệ nhân tạo gồm những mức nào?,classification,easy,1,1,3,6,1,0,0,0,0.0000000000,1.0000000000,0.1666666667,1,1,1,1.0000000000,134-2025-QH15_dieu-9_khoan-2,134-2025-QH15_dieu-9,22.7139946794
eval002,Ai có thẩm quyền ban hành danh mục hệ thống trí tuệ nhân tạo có rủi ro cao?,authority,easy,1,1,1,,1,0,0,0,0.0000000000,0.0000000000,0.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-7_khoan-1_diem-a,142-2026-ND-CP_dieu-7,28.5007100741
eval003,Nhà cung cấp phải lập hồ sơ phân loại rủi ro vào thời điểm nào?,procedure,easy,1,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-12_khoan-1,142-2026-ND-CP_dieu-12,23.3561011130
eval004,Nhà cung cấp hệ thống AI rủi ro cao phải duy trì những biện pháp quản lý nào?,actor_obligation,medium,1,1,6,1,1,1,1,1,0.1666666667,0.3333333333,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-15_khoan-1,142-2026-ND-CP_dieu-15,21.8654776390
eval005a,Nhà cung cấp hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,7,4,1,0,0,1,0.1428571429,0.1428571429,0.2500000000,1,1,1,1.0000000000,134-2025-QH15_dieu-14_khoan-6,134-2025-QH15_dieu-14,24.7117108640
eval005b,Bên triển khai hệ thống trí tuệ nhân tạo có rủi ro cao phải thực hiện những nghĩa vụ quản lý nào?,actor_obligation,hard,1,1,6,4,1,0,0,1,0.1666666667,0.1666666667,0.2500000000,1,1,1,1.0000000000,134-2025-QH15_dieu-14_khoan-5,134-2025-QH15_dieu-14,25.6037232584
eval006,Trách nhiệm minh bạch của nhà cung cấp hệ thống trí tuệ nhân tạo bao gồm những gì?,actor_obligation,medium,1,1,3,4,3,0,0,1,0.6666666667,1.0000000000,0.2500000000,0,1,1,0.3333333333,142-2026-ND-CP_dieu-16_khoan-1,142-2026-ND-CP_dieu-16,21.7460499162
eval007,Nội dung do AI tạo ra phải được thông báo hoặc gắn nhãn như thế nào?,transparency,hard,1,1,9,4,1,0,0,1,0.1111111111,0.5555555556,0.2500000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,29.2705882046
eval008,Trường hợp nào nội dung do AI tạo ra cần giúp người tiếp nhận nhận biết rõ nguồn gốc?,condition,medium,1,1,4,1,1,1,1,1,0.5000000000,0.5000000000,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-18_khoan-6,142-2026-ND-CP_dieu-18,33.5787016329
eval009,Hệ thống AI tương tác trực tiếp với con người phải được thiết kế theo yêu cầu gì?,condition,easy,1,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,134-2025-QH15_dieu-11_khoan-1,134-2025-QH15_dieu-11,30.9594898816
eval010,Nhà cung cấp cần làm gì khi phát hiện sự cố liên quan đến hệ thống trí tuệ nhân tạo?,incident,easy,1,1,1,,3,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,1,1,0.3333333333,134-2025-QH15_dieu-10_khoan-5_diem-c,134-2025-QH15_dieu-10,22.2233153869
eval011,"Cơ chế thử nghiệm có kiểm soát cho phép tổ chức, cá nhân được hưởng những cơ chế gì trong phạm vi thử nghiệm?",sandbox,medium,1,1,2,,,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,0,0,0.0000000000,142-2026-ND-CP_dieu-26_khoan-2_diem-c,142-2026-ND-CP_dieu-26,31.8680068063
eval012,Cơ quan nào quyết định chấp thuận tham gia cơ chế thử nghiệm có kiểm soát?,authority,medium,1,1,3,,1,0,0,0,0.0000000000,0.0000000000,0.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-23_khoan-6,142-2026-ND-CP_dieu-23,29.7051483696
eval013,Việc phân loại cấp độ thử nghiệm có kiểm soát dựa trên những tiêu chí nào?,sandbox,medium,1,1,5,2,1,0,1,1,0.4000000000,0.8000000000,0.5000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-22_khoan-6,142-2026-ND-CP_dieu-22,25.5404420973
eval014,Hồ sơ thông thường để tham gia cơ chế thử nghiệm có kiểm soát gồm những thành phần nào?,procedure,medium,1,1,4,5,1,0,0,1,0.2500000000,0.5000000000,0.2000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-24_khoan-5,142-2026-ND-CP_dieu-24,30.1953785614
eval015,Khi nào cơ quan có thẩm quyền có thể tạm dừng hoặc chấm dứt thử nghiệm?,condition,hard,2,2,2,2,2,0,1,1,1.0000000000,1.0000000000,0.5000000000,0,1,1,0.5000000000,142-2026-ND-CP_dieu-23_khoan-7_diem-đ,142-2026-ND-CP_dieu-23,37.5394003958
eval016,Tổ chức hoặc cá nhân phải báo cáo gì trong quá trình thử nghiệm có kiểm soát?,procedure,medium,1,1,5,1,1,1,1,1,0.4000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-25_khoan-4,142-2026-ND-CP_dieu-25,27.5609384634
eval017,Có thể gia hạn thời gian thử nghiệm có kiểm soát hay không và thủ tục thế nào?,procedure,medium,1,1,1,2,1,0,1,1,1.0000000000,1.0000000000,0.5000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-27_khoan-3,142-2026-ND-CP_dieu-27,27.1478627763
eval018,"Sau khi kết thúc thử nghiệm, cơ quan có thẩm quyền xử lý kết quả như thế nào?",procedure,medium,1,1,3,2,1,0,1,1,0.6666666667,0.6666666667,0.5000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-27_khoan-6_diem-a,142-2026-ND-CP_dieu-27,23.8246646834
eval019,Cơ sở dữ liệu quốc gia phục vụ trí tuệ nhân tạo được tổ chức theo những nguyên tắc nào?,data_governance,easy,1,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,134-2025-QH15_dieu-17_khoan-2,134-2025-QH15_dieu-17,25.0641668296
eval020,Dữ liệu mở có điều kiện được hiểu là gì?,definition,easy,1,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-3_khoan-7,142-2026-ND-CP_dieu-3,16.4499659551
eval021,Những loại dữ liệu nào có thể được đưa vào cơ sở dữ liệu phục vụ trí tuệ nhân tạo?,data_governance,easy,1,1,3,6,2,0,0,0,0.0000000000,0.3333333333,0.1666666667,0,1,1,0.5000000000,134-2025-QH15_dieu-17_khoan-1,134-2025-QH15_dieu-17,23.3656838151
eval022,Cơ quan quản lý có trách nhiệm gì đối với việc xây dựng và cập nhật dữ liệu mở phục vụ AI?,actor_obligation,medium,1,1,3,1,1,1,1,1,0.3333333333,0.3333333333,1.0000000000,1,1,1,1.0000000000,142-2026-ND-CP_dieu-32_khoan-5_diem-a,142-2026-ND-CP_dieu-32,29.6551987661
eval023,Quy định về bảo đảm khả năng kết nối và khai thác dữ liệu phục vụ trí tuệ nhân tạo là gì?,data_governance,easy,1,1,2,3,1,0,1,1,0.5000000000,0.5000000000,0.3333333333,1,1,1,1.0000000000,134-2025-QH15_dieu-17_khoan-6,134-2025-QH15_dieu-17,29.4952088536
eval024,Những hành vi nào liên quan đến AI bị nghiêm cấm khi lợi dụng nhóm người dễ bị tổn thương?,prohibition,easy,1,1,1,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,134-2025-QH15_dieu-7_khoan-2_diem-c,134-2025-QH15_dieu-7,49.2332600008
eval025,"Khi ứng dụng AI trong quản lý nhà nước, cơ quan vận hành phải đánh giá tác động trong trường hợp nào?",public_sector,hard,1,1,7,8,2,0,0,0,0.0000000000,0.2857142857,0.1250000000,0,1,1,0.5000000000,134-2025-QH15_dieu-27_khoan-3,134-2025-QH15_dieu-27,23.1336649871
eval026,Báo cáo đánh giá tác động khi sử dụng AI trong khu vực công cần đề cập những nội dung gì?,public_sector,medium,1,1,4,,2,0,0,0,0.0000000000,0.0000000000,0.0000000000,0,1,1,0.5000000000,134-2025-QH15_dieu-27_khoan-4,134-2025-QH15_dieu-27,24.4719808369
eval027,Nguyên tắc đạo đức khi phát triển và sử dụng trí tuệ nhân tạo được đặt ra như thế nào?,ethics,medium,1,1,4,10,3,0,0,0,0.0000000000,0.2500000000,0.1000000000,0,1,1,0.3333333333,134-2025-QH15_dieu-27_khoan-2,134-2025-QH15_dieu-27,26.4770875645
eval028,Tổ chức phát triển hoặc triển khai AI cần bảo đảm trách nhiệm giải trình ra sao?,accountability,hard,1,1,2,2,2,0,1,1,0.5000000000,0.5000000000,0.5000000000,0,1,1,0.5000000000,142-2026-ND-CP_dieu-16_khoan-6,142-2026-ND-CP_dieu-16,13.8762506373
eval029,"Theo Khung đạo đức trí tuệ nhân tạo quốc gia, khi hệ thống AI có thể ảnh hưởng đáng kể đến quyền con người thì cần áp dụng những biện pháp kiểm soát nào?",rights_risk,hard,1,1,2,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1,1,1,1.0000000000,05-2026-TT-BKHCN_dieu-3_khoan-1_diem-c,05-2026-TT-BKHCN_dieu-3,40.6463561180
eval030,Những yêu cầu nào giúp bảo đảm con người vẫn có khả năng giám sát và can thiệp vào hệ thống AI?,human_oversight,hard,1,1,1,3,3,0,1,1,1.0000000000,1.0000000000,0.3333333333,0,1,1,0.3333333333,05-2026-TT-BKHCN_dieu-3_khoan-1_diem-c,05-2026-TT-BKHCN_dieu-3,33.5786937465
